DATE,RSFSXMV
2023-01-01,547880
2023-02-01,543895
2023-03-01,538675
2023-04-01,542521
2023-05-01,543792
2023-06-01,544674
2023-07-01,547943
2023-08-01,553381
2023-09-01,556575
2023-10-01,555690
2023-11-01,555244
2023-12-01,556052
2024-01-01,551100
2024-02-01,553809
2024-03-01,557426
2024-04-01,558388
2024-05-01,560134
2024-06-01,563966
2024-07-01,566007
2024-08-01,564844
2024-09-01,570796
2024-10-01,572456
2024-11-01,572545
2024-12-01,576688
2025-01-01,575138
2025-02-01,577383
2025-03-01,581041
2025-04-01,581284
2025-05-01,580943
2025-06-01,586272
2025-07-01,588742
2025-08-01,592134
2025-09-01,592955
2025-10-01,595403
